Setup title	"Solar Cell Cp-V"
Application test name	"Solar Cell Cp-V"
Test date	4/3/2023
Test time	18:29:18
Device ID	
Count	14
Flags	
Remarks	
Name	Anode	VdcStart	VdcStop	VdcStep	OscLevel	FREQ	IntegTime	HoldTime	DelayTime	CpMin	CpMax	GMin	GMax	NMin	NMax
Value	"CMU1:MF	MFCMU"	-5	5	0.1	0.06	500000	MEDIUM	0	0	1E-15	5E-07	0	0.005	1E+15	1E+17
Name	Temp	Area	Es
Value	25	1	25.5
Vdc	Cp	Cp_2	G	N	W	Rp	D
4	5.59498E-11	3.19450022570173E+20	9.90116E-06	4017852407107.33	0.000403543522943782	100998.266869741	0.0563297297343028
4.1	5.59612E-11	3.19319883855343E+20	9.90651E-06	3814943795852.5	0.000403461316054695	100943.722865066	0.0563486857068716
4.2	5.59752E-11	3.19160173150724E+20	9.90583E-06	3862869435472.64	0.000403360406036959	100950.65229264	0.0563307253901152
4.3	5.59863E-11	3.19033630523997E+20	9.91873E-06	2995363133692.16	0.000403280434677769	100819.358930024	0.0563929000021174
4.4	5.60076E-11	3.18791016158698E+20	9.94251E-06	2603759674433.93	0.000403127064898335	100578.224210989	0.0565066031481799
4.5	5.60236E-11	3.18608952603328E+20	9.92782E-06	5925409166332.47	0.000403011934256278	100727.047831246	0.0564070008755945
4.6	5.6024E-11	3.18604403012935E+20	9.95975E-06	3954526489542.98	0.000403009056832786	100404.126609604	0.0565880138676248
4.7	5.60482E-11	3.18329333982139E+20	9.91906E-06	3550756364266.7	0.000402835049118437	100816.004742385	0.0563324934547584
4.8	5.60514E-11	3.18292987885841E+20	9.93033E-06	6716083645972.61	0.000402812051081686	100701.587963341	0.0563932785277135
4.9	5.60627E-11	3.18164690522834E+20	9.94666E-06	3504839905478.01	0.000402730860268949	100536.260413043	0.0564746295221183
5	5.60792E-11	3.17977492949044E+20	9.95107E-06	2953455063753.78	0.000402612366082255	100491.705917052	0.056483044678022
