Setup title	"Solar Cell Cp-V"
Application test name	"Solar Cell Cp-V"
Test date	4/3/2023
Test time	18:26:54
Device ID	
Count	7
Flags	
Remarks	
Name	Anode	VdcStart	VdcStop	VdcStep	OscLevel	FREQ	IntegTime	HoldTime	DelayTime	CpMin	CpMax	GMin	GMax	NMin	NMax
Value	"CMU1:MF	MFCMU"	-5	5	0.1	0.06	1000000	MEDIUM	0	0	1E-15	5E-07	0	0.005	1E+15	1E+17
Name	Temp	Area	Es
Value	25	1	25.5
Vdc	Cp	Cp_2	G	N	W	Rp	D
0.2	4.72745E-11	4.47451647597793E+20	2.77522E-05	45740801291.4837	0.000477597423558155	36033.1793515469	0.0934309154338177
0.3	4.78667E-11	4.36448519622469E+20	2.85641E-05	54319762640.7603	0.000471688656205671	35008.9798033196	0.0949745378305242
0.4	4.8388E-11	4.27095166076092E+20	2.92945E-05	61741079197.793	0.000466606997602711	34136.1006332247	0.0963537339920374
0.5	4.88801E-11	4.18538899984668E+20	2.98901E-05	69424836624.4277	0.000461909435537161	33455.8934229059	0.0973229834740981
0.6	4.93163E-11	4.11167735804391E+20	3.05041E-05	77462836857.1043	0.000457823871620539	32782.4784209336	0.0984436849392738
0.7	4.97356E-11	4.04264193695514E+20	3.10455E-05	83070566152.723	0.00045396415042746	32210.7873926978	0.099346238625063
0.8	5.01345E-11	3.97856652280211E+20	3.16367E-05	87648116098.87	0.000450352140741406	31608.8593310933	0.100432580121805
0.9	5.05303E-11	3.9164830080841E+20	3.20999E-05	91834971186.8112	0.000446824566646151	31152.7450241278	0.10110483725125
1	5.09108E-11	3.8581593151589E+20	3.26373E-05	97486730798.728	0.000443485064072849	30639.7894433669	0.10202918878066
1.1	5.12783E-11	3.8030563667966E+20	3.3157E-05	101171888847.161	0.000440306706735598	30159.5439876949	0.102910986676612
1.2	5.16476E-11	3.74886420788555E+20	3.36881E-05	102653835453.772	0.000437158346176783	29684.0724172631	0.1038117480459
1.3	5.20203E-11	3.69533908184842E+20	3.41816E-05	104609563372.546	0.000434026320494115	29255.5058862078	0.104577839858503
1.4	5.23915E-11	3.64316075125971E+20	3.47791E-05	107954198156.067	0.000430951192464427	28752.9004488328	0.105651979448741
1.5	5.27566E-11	3.59291052757754E+20	3.52535E-05	108789995999.648	0.000427968811485198	28365.9778461713	0.106351978449929
1.6	5.3138E-11	3.54151912196289E+20	3.57547E-05	109244990842.084	0.000424897049192668	27968.3510139926	0.107089789675359
1.7	5.35158E-11	3.4916922258562E+20	3.63459E-05	118206835671.366	0.000421897447109078	27513.4196704443	0.108091996123111
1.8	5.3854E-11	3.44797468029169E+20	3.68527E-05	130965240574.757	0.000419247955583615	27135.0538766495	0.108910932730794
1.9	5.41748E-11	3.40726072024395E+20	3.72473E-05	152538845161.81	0.0004167653484646	26847.5835832396	0.109425266209165
2	5.44292E-11	3.37548434228717E+20	3.76915E-05	190393018102.224	0.000414817403158599	26531.1807702002	0.110212689834679
2.1	5.46425E-11	3.349182999985E+20	3.7994E-05	253306613913.863	0.000413198140641442	26319.9452545139	0.110663547748273
2.2	5.47846E-11	3.33183134691628E+20	3.82395E-05	349547272088.852	0.000412126389532825	26150.969547196	0.111089712188536
2.3	5.49024E-11	3.31754895982065E+20	3.83623E-05	427496914312.581	0.000411242120563036	26067.2587410035	0.111207336534938
2.4	5.49985E-11	3.30596544689597E+20	3.85459E-05	498148643111.362	0.000410523548824059	25943.0964123292	0.111544324316617
2.5	5.5087E-11	3.29535158440367E+20	3.86554E-05	604853009522.61	0.000409864022364623	25869.6068337153	0.11168148541754
2.6	5.51512E-11	3.28768399293855E+20	3.87229E-05	870334817785.988	0.000409386910892238	25824.512110405	0.111746271084849
2.7	5.51935E-11	3.28264659751974E+20	3.88392E-05	907362921605.088	0.000409073158977053	25747.1832581516	0.1119959898491
2.8	5.52537E-11	3.2754974772883E+20	3.89366E-05	944367353201.979	0.000408627465671982	25682.7766163455	0.112154522813738
2.9	5.52922E-11	3.2709376027021E+20	3.89768E-05	1216909267855.92	0.000408342938063597	25656.2878430246	0.112192142578985
3	5.53305E-11	3.26641085699812E+20	3.90044E-05	1467414103009.72	0.000408060281399951	25638.1331336977	0.112193872499527
3.1	5.5356E-11	3.26340217529826E+20	3.90381E-05	1579198924406.5	0.000407872306525038	25616.0007787264	0.112239081290507
3.2	5.53899E-11	3.25940883067091E+20	3.90671E-05	1371638464912.37	0.00040762267850276	25596.9856989641	0.112253715519742
3.3	5.54245E-11	3.25534058127953E+20	3.91941E-05	2521459567305.78	0.000407368210809299	25514.044205633	0.112548327094329
3.4	5.54272E-11	3.25502343715202E+20	3.91784E-05	2117867168035.98	0.000407348366866809	25524.2684744655	0.112497763235976
3.5	5.5469E-11	3.25011948308627E+20	3.92525E-05	1471276302639.81	0.000407041399700734	25476.0843258391	0.112625599951616
3.6	5.54913E-11	3.24750779075389E+20	3.92945E-05	2566644945320.33	0.000406877824091344	25448.8541653412	0.112700800149322
3.7	5.55058E-11	3.24581129372616E+20	3.9296E-05	2781156097585.09	0.000406771533785658	25447.8827361563	0.112675659908347
3.8	5.55253E-11	3.24353189294139E+20	3.93136E-05	2530537932373.24	0.000406628679178681	25436.4901713402	0.112686536961333
3.9	5.55432E-11	3.24144163291091E+20	3.93899E-05	3026398327704.97	0.000406497634273863	25387.2185509483	0.112868853305122
4	5.55566E-11	3.23987817943535E+20	3.9415E-05	3203159913810.2	0.000406399588887729	25371.0516300901	0.112913534700983
4.1	5.55728E-11	3.23798954411668E+20	3.93911E-05	2866801050642.3	0.000406281119540495	25386.4451614705	0.112812172120691
4.2	5.55897E-11	3.2360210605599E+20	3.94695E-05	3103520234623.7	0.000406157604736129	25336.0189513422	0.113002337238142
4.3	5.56034E-11	3.23442662471914E+20	3.94658E-05	5108795940223.76	0.000406057532453051	25338.3942552793	0.112963904241066
4.4	5.56083E-11	3.23385663814531E+20	3.94724E-05	3471402627066.91	0.00040602175214851	25334.1575379252	0.112972839948391
4.5	5.56308E-11	3.23124128621695E+20	3.95055E-05	3576673768128.62	0.000405857535753575	25312.931110858	0.113021844092094
4.6	5.56349E-11	3.23076505273343E+20	3.94819E-05	4986166195575.11	0.000405827626184284	25328.0617194208	0.112946002377312
4.7	5.56499E-11	3.22902363200911E+20	3.95413E-05	3144738712395.78	0.000405718238487401	25290.0132266769	0.113085438631177
4.8	5.56652E-11	3.22724883295942E+20	3.95386E-05	10589771354526.7	0.000405606723769968	25291.7402234778	0.11304663655093
4.9	5.56589E-11	3.22797945531498E+20	3.95358E-05	4995420101686.03	0.000405652634169917	25293.5314322715	0.113051425721567
5	5.56843E-11	3.22503528690734E+20	3.95581E-05	1877880425574.14	0.000405467598587034	25279.2727658811	0.11306359520233
